SensorID,Date,Temperature,SoilMoisture,pH,Fertilizer,Location
s16,12-Mar-25,15.9,25,7.8,1.4,n field
s36,4/1/2025,25,50,6.9,1.7,South Field
s59,20-Mar-25,32,54,6.9,1.6,EASTFIELD
S009,3/31/2025,14,55,5.9,3.7,West Field
S051,9/4/2025,17.1,56,7.4,4.2,W field
S17,6/3/2025,N/A,62,6.8,1.2,North Field
s32,3/4/2025,22.2,27,7,2.8,North Field
s48,3/31/2025,22.4,26,6.3,3.4,EASTFIELD
S39,4/3/2025,33.1,42,6.6,2.5,NorthField
S027,6-Apr-25,16.4,24,7.6,3.4,West Field
s14,15/03/2025,13.8,63,6.7,4.2,SOUTH FIELD
S23,12-Mar-25,25.4,19,7.6,2.8,W field
s51,18/03/2025,35.5,64,6.3,3.4,EASTFIELD
S21,3/19/2025,26.1,22,6.8,2.8,Southfield
S043,4/8/2025,24,33,6.1,3.3,NORTH FIELD
S52,3/15/2025,30.4,41,7.3,1.8,South Field
S022,3/25/2025,35.7,None,5.9,1.3,w field
S049,3/3/2025,26.5,58,5.9,1.8,w field
S45,3/19/2025,34,18,5.6,3.7,East Field
s27,4/4/2025,21.3,38,7.2,3,Nrth Field
s44,2/25/2025,13.8,57,5.8,3.4,North Field
s54,3/23/2025,22.8,39,6.9,3.1,n field
S032,10/3/2025,34.4,59,6.4,3.4,north field
s49,3/4/2025,14,55,6.4,2.5,North Field
S21,30/03/2025,21.4,20,6.8,3,NORTH FIELD
s10,23-Mar-25,36.6,43,,3.3,North Field
s29,7/4/2025,14.7,50,6.2,2.7,SOUTH FIELD
s30,4/6/2025,17,26,6.5,3.8,NorthField
S014,25-Mar-25,26.9,27,5.8,3.2,n field
S14,28/03/2025,19.1,38,7.4,3.6,S field
S49,3/19/2025,21.4,62,6.6,3.8,W field
s30,8/3/2025,17.6,27,5.9,2.7,North Field
S59,3/9/2025,33,55,7,2.1,South Field
S020,3/19/2025,31.6,missing,7.4,N/A,westField
S011,5/3/2025,N/A,30,7.7,0.006,West Field
